Ave,σ,Ave,σ,Ave,σ,Ave,σ
0.05,,0.5,,5,,-con,
1650.25,1093.436288,2247.75,58.65364439,2413,51.09468335,2332.5,96.23062576
1600.25,1019.824617,2188.25,31.53173005,2250.75,39.54217158,2176,111.5287706
1586,970.7430144,2152.25,19.58528359,2163,39.04698025,2115,111.6273563
1582.5,928.7778708,2125.75,19.22455028,2098.5,39.66946769,2076,111.0525401
1582.5,889.1169777,2106.25,17.80215343,2044,39.55586766,2047,109.3953076
1583.75,850.1566032,2090.25,16.5,1997.25,41.52408939,2025.25,108.0104162
1587.75,813.0286485,2074.5,15.80084386,1955,43.04261454,2008,107.6320894
1594,777.5272771,2061,15.42724862,1917.5,46.00362305,1991,107.3095212
1600.75,742.3239971,2048.75,15.2616076,1881.5,45.79301257,1976.5,106.6286391
1608.25,707.5414593,2035.75,14.93039406,1848.75,47.61914881,1964,106.505086
1617.5,674.0116221,2024.75,14.45394986,1817.5,48.18367635,1953.25,105.3830315
1626.5,640.3319452,2014.75,13.72042273,1788.25,47.71006183,1943.25,104.8661846
1636.75,607.3331733,2004.25,12.97112177,1759.75,46.60025036,1936,104.2433051
1647.5,574.8422972,1994.25,13.20037878,1732,46.20245304,1926.75,103.9627337
1658.5,542.3519767,1984.25,13.45052663,1706,45.14421336,1920.5,103.9438951
1669.75,510.3158336,1976.75,14.52297031,1682.5,46.62259824,1913,103.1988372
1681.75,478.6497502,1969,14.16568624,1659.75,46.42826007,1907,103.2375901
1693.5,446.8829079,1960.75,13.96125591,1637,47.07440918,1902,103.4504712
1705,415.1216689,1954,15.1217283,1615,47.02481614,1896.75,103.8055072
1719.25,385.124547,1949.5,15.15475723,1595.75,45.85756935,1893.25,102.3958821
1731.25,353.8025579,1942.5,15.15475723,1575.75,45.87937082,1888.5,102.4385995
1742.75,322.2021881,1935,14.71960144,1557,45.7165178,1882.5,103.9246522
1756,292.2031257,1929.5,15.94783162,1537.25,43.30030793,1878.5,103.5197244
1768.75,261.7726431,1923.5,15.92691642,1520,44.42221666,1874,103.8973853
1781.25,231.7460895,1918.25,15.56438242,1502.5,45.20693162,1870.75,104.0780957
1794.5,202.3091693,1912.25,16.7207456,1486.5,43.91279237,1867.5,103.4166331
1808,174.0363947,1908,15.4488403,1471.75,44.30481539,1863.5,102.3409335
1820.25,145.971173,1902.25,16.25576821,1456.25,43.797831,1860.5,102.6726189
1834.75,120.6713857,1897,17.18526501,1441.25,44.08609002,1858,100.8199716
1847.75,97.60251021,1892.75,16.37833935,1427,43.9165876,1855.5,100.8513758
1861.75,81.02005924,1887.75,17.44276354,1414.75,43.54595274,1853,101.0577393
1874.5,74.17322068,1882,16.69331203,1401,43.4204253,1849.5,101.0263992
1888,79.75378779,1877,16.75310916,1389,42.92629342,1847,100.312844
1901.5,96.01909532,1873.25,17.03672504,1376,43.18178628,1844.75,101.0028877
1915.5,116.9515569,1868,16.0623784,1364.25,42.81257603,1843.25,100.4635091
1928.75,142.8667794,1863.25,15.92430009,1352,41.86486196,1841,101.3903348
1942,169.9705857,1859.75,16.7605688,1340.5,41.34811564,1838.25,100.2309832
1955.75,197.9905301,1855.5,15.86400538,1331,41.92851059,1837.25,100.2309832
1970,226.7480246,1850,16.37070554,1320.75,42.01091128,1835.75,100.6027667
1983.5,255.9746081,1847.25,16.66083231,1311,41.15823125,1833.75,100.7716065
1998.25,285.4240997,1842,15.89549202,1301.25,41.56420736,1832.25,100.572942
2011.5,315.6691306,1837.75,16.68082732,1291.5,40.35261247,1830.25,100.1844133
2024.5,346.0765811,1834,15.89549202,1282.25,39.74397229,1828,100.760442
2038.75,375.7325068,1830,14.8548533,1273.25,40.72161588,1826.75,100.5464238
2052.5,406.2819218,1826.25,16.11159003,1265.5,40.08740451,1824.5,100.0549849
2066.25,436.4824357,1821.75,16.02862024,1257,40.10818703,1823.25,99.09717453
2080,466.8661478,1817,15.89549202,1250,40.10818703,1821.5,98.52410872
2094.25,497.0334496,1813.75,15.43534904,1241.25,40.23576353,1819.75,99.86449152
2108.5,527.2662199,1809.25,15.96610994,1234.5,40.35261247,1817.75,99.29207756
2122.75,557.4180807,1805,15.1217283,1228,39.62322551,1817.75,99.52009847
2136.5,587.9674027,1801.25,15.96610994,1220.5,39.10242959,1816,99.90662307
2150.25,618.5452692,1797,15.76916823,1213.75,38.66415222,1814.75,99.35584197
